ID	pwm_atg	pwm_ctg	pwm_gtg	pwm_ttg
ENSP00000230124		0	0	0	0
ENSP00000245206		1	0	0	1
ENSP00000364777		0	0	0	0
ENSP00000430684		1	1	0	1
ENSP00000233838		1	1	1	1
ENSP00000263268		0	1	0	0
ENSP00000301939		0	0	0	1
ENSP00000401508		1	0	0	0
ENSP00000359042		1	0	1	1
ENSP00000284957		1	0	1	0
ENSP00000384015		1	0	0	0
ENSP00000345156		0	1	1	1
ENSP00000251968		0	1	0	0
ENSP00000315614		0	0	0	0
ENSP00000405574		1	1	1	1
ENSP00000228347		0	1	1	1
ENSP00000307684		1	0	0	0
ENSP00000351132		1	0	0	1
ENSP00000251038		1	1	1	1
ENSP00000357204		0	0	0	0
ENSP00000298687		1	1	0	1
ENSP00000355013		0	0	0	0
ENSP00000299300		1	0	0	0
ENSP00000233379		0	0	1	1
ENSP00000217182		0	0	0	0
ENSP00000309831		0	0	0	0
ENSP00000302239		0	1	1	1
ENSP00000315182		0	1	0	1
ENSP00000222247		0	0	0	0
ENSP00000265960		0	0	0	1
ENSP00000296456		0	1	1	0
ENSP00000333926		1	1	1	1
ENSP00000319781		0	1	0	0
ENSP00000350028		1	0	0	0
ENSP00000399718		0	0	0	0
ENSP00000011898		0	1	0	1
ENSP00000393393		0	0	0	1
ENSP00000410157		1	1	0	0
ENSP00000206474		1	0	0	0
ENSP00000347919		0	0	0	0
ENSP00000209873		0	0	1	0
ENSP00000333896		0	0	0	0
ENSP00000261558		0	1	0	1
ENSP00000231198		1	1	1	1
ENSP00000220763		0	0	0	0
ENSP00000360154		1	1	0	1
ENSP00000240123		1	1	0	0
ENSP00000286428		0	0	1	1
ENSP00000368646		0	0	0	0
ENSP00000341289		1	0	0	0
ENSP00000379201		0	0	0	1
ENSP00000336750		1	0	1	1
ENSP00000366243		1	1	0	1
ENSP00000257548		0	1	1	0
ENSP00000299192		0	0	0	1
ENSP00000347665		1	1	0	0
ENSP00000351416		0	1	1	1
ENSP00000339917		1	0	0	0
ENSP00000225972		0	1	0	0
ENSP00000286175		0	0	0	0
ENSP00000263209		0	0	1	1
ENSP00000279242		0	0	0	1
ENSP00000408405		0	0	0	1
ENSP00000306887		0	0	0	0
ENSP00000462116		1	0	1	0
ENSP00000245551		0	0	0	0
ENSP00000355944		0	0	0	0
ENSP00000408005		1	0	0	0
ENSP00000268184		0	1	1	0
ENSP00000320017		0	1	0	0
ENSP00000352021		1	0	0	1
ENSP00000263205		0	0	1	0
ENSP00000264108		0	1	1	0
ENSP00000370125		0	0	0	0
ENSP00000223129		0	0	0	0
ENSP00000365401		1	0	0	0
ENSP00000350491		0	0	0	0
ENSP00000328340		1	0	1	0
ENSP00000249042		1	0	0	0
ENSP00000318944		1	0	1	0
ENSP00000369756		0	0	0	0
ENSP00000313921		0	0	1	0
ENSP00000239878		0	0	0	0
ENSP00000354218		0	0	0	0
ENSP00000262043		1	1	0	0
ENSP00000354580		1	0	0	0
ENSP00000295802		0	0	0	1
ENSP00000357651		0	0	0	1
ENSP00000381634		0	1	1	1
ENSP00000364815		0	0	0	0
ENSP00000232501		0	0	0	0
ENSP00000303908		1	0	0	0
ENSP00000358033		0	0	0	0
ENSP00000328875		1	1	1	1
ENSP00000263780		1	1	0	0
ENSP00000287380		0	1	1	0
ENSP00000271715		0	1	1	1
ENSP00000379157		0	1	0	1
ENSP00000358283		1	0	1	1
ENSP00000357218		0	0	0	0
ENSP00000263181		0	0	0	0
ENSP00000285873		0	1	1	1
ENSP00000301730		0	0	0	0
ENSP00000417404		0	0	1	1
ENSP00000355173		0	1	1	1
ENSP00000253577		1	0	0	0
ENSP00000254759		0	0	1	0
ENSP00000344674		0	0	0	0
ENSP00000216367		0	0	1	1
ENSP00000320866		0	1	0	0
ENSP00000462337		0	0	0	0
ENSP00000244458		0	0	0	0
ENSP00000248306		0	1	0	0
ENSP00000263918		0	1	1	1
ENSP00000357535		1	0	0	0
ENSP00000364324		1	0	1	1
ENSP00000380308		0	0	1	0
ENSP00000262265		0	0	0	0
ENSP00000356918		1	1	1	1
ENSP00000254816		0	0	0	0
ENSP00000407375		1	0	0	0
ENSP00000292330		0	0	0	0
ENSP00000418910		1	1	1	0
ENSP00000261245		0	0	0	0
ENSP00000261250		0	0	0	0
ENSP00000368237		0	0	0	0
ENSP00000298317		1	0	0	0
ENSP00000345230		0	1	0	0
ENSP00000366396		0	0	1	0
ENSP00000347792		1	0	0	1
ENSP00000441000		1	0	0	0
ENSP00000262030		0	0	0	1
ENSP00000222005		0	0	0	0
ENSP00000350570		0	0	0	1
ENSP00000264638		1	0	1	1
ENSP00000312402		0	1	1	0
ENSP00000280987		0	0	1	1
ENSP00000345494		0	1	0	0
ENSP00000442057		0	0	0	0
ENSP00000359000		1	1	1	0
ENSP00000332371		1	0	0	1
ENSP00000361990		0	0	1	1
ENSP00000249396		1	0	0	0
ENSP00000299927		1	1	1	0
ENSP00000274496		0	0	1	1
ENSP00000367196		1	0	0	0
ENSP00000364721		0	1	0	0
ENSP00000370340		0	0	0	1
ENSP00000380998		1	0	0	0
ENSP00000356481		1	0	1	0
ENSP00000383042		0	0	0	0
ENSP00000362273		1	0	1	0
ENSP00000354663		0	0	0	0
ENSP00000363524		0	1	1	1
ENSP00000272521		0	0	0	0
ENSP00000233627		0	0	0	0
ENSP00000237500		0	0	0	0
ENSP00000305699		1	1	1	1
ENSP00000257181		1	0	0	1
ENSP00000353741		1	1	0	1
ENSP00000269397		1	0	0	0
ENSP00000343526		0	0	0	0
ENSP00000388107		0	0	1	0
ENSP00000369292		0	1	1	1
ENSP00000255120		0	0	0	1
ENSP00000377665		0	0	0	0
ENSP00000379946		0	1	1	0
ENSP00000360120		1	1	0	0
ENSP00000013034		1	0	0	0
ENSP00000359818		0	0	1	0
ENSP00000265038		0	0	0	0
ENSP00000218348		0	0	1	0
ENSP00000382697		1	0	1	1
ENSP00000300030		0	0	0	0
ENSP00000346921		1	0	1	0
ENSP00000227618		1	0	0	0
ENSP00000258975		0	0	1	0
ENSP00000264538		0	0	1	1
ENSP00000298999		1	0	0	0
ENSP00000339090		0	0	0	0
ENSP00000280333		1	1	1	0
ENSP00000320924		1	0	1	1
ENSP00000364691		0	0	0	0
ENSP00000334382		0	1	1	1
ENSP00000290158		0	0	1	1
ENSP00000302768		0	1	0	1
ENSP00000302486		1	0	0	0
ENSP00000323377		0	1	0	0
ENSP00000364543		1	0	1	0
ENSP00000310117		0	0	0	0
ENSP00000295930		0	0	1	0
ENSP00000343463		0	1	0	0
ENSP00000370508		0	0	0	0
ENSP00000360966		0	0	0	1
ENSP00000383178		0	1	0	0
ENSP00000276079		0	0	0	0
ENSP00000292123		1	0	0	0
ENSP00000368688		1	1	1	1
ENSP00000263331		1	1	0	0
ENSP00000376800		1	1	1	0
ENSP00000369339		0	1	0	1
ENSP00000260129		0	1	0	1
ENSP00000298717		1	0	0	0
ENSP00000303507		0	1	0	1
ENSP00000308227		0	0	0	1
ENSP00000399938		0	0	1	0
ENSP00000357177		1	1	0	1
ENSP00000321573		1	1	0	1
ENSP00000309096		0	0	0	0
ENSP00000373420		0	0	0	1
ENSP00000335246		1	1	1	1
ENSP00000348762		0	0	1	0
ENSP00000420514		0	1	0	1
ENSP00000364277		1	0	0	0
ENSP00000355988		0	1	0	0
ENSP00000381693		0	1	1	1
ENSP00000287322		1	1	1	1
ENSP00000420195		1	0	0	0
ENSP00000317614		1	0	1	1
ENSP00000380869		1	1	0	1
ENSP00000237822		0	0	1	0
ENSP00000260363		0	0	0	0
ENSP00000349358		0	0	0	1
ENSP00000263791		1	1	1	0
ENSP00000367024		1	0	1	1
ENSP00000256190		1	1	0	1
ENSP00000380598		0	0	0	0
ENSP00000368818		0	0	0	0
ENSP00000216268		0	1	0	0
ENSP00000316598		0	0	0	0
ENSP00000370394		1	0	0	0
ENSP00000346142		1	0	0	0
ENSP00000351052		0	0	0	0
ENSP00000379065		1	1	1	1
ENSP00000386520		1	1	1	1
ENSP00000381565		1	0	0	0
ENSP00000350098		0	0	0	0
ENSP00000300087		1	1	1	1
ENSP00000417587		1	1	0	1
ENSP00000398880		0	1	1	0
ENSP00000315263		1	0	0	0
ENSP00000305524		0	0	0	1
ENSP00000366612		0	0	0	0
ENSP00000407509		1	0	0	1
ENSP00000393312		1	0	1	0
ENSP00000314441		0	0	0	0
ENSP00000359827		1	1	1	0
ENSP00000253861		1	1	1	0
ENSP00000341805		0	0	1	0
ENSP00000223528		0	1	0	1
ENSP00000358695		1	1	1	1
ENSP00000328079		0	1	1	0
ENSP00000376609		0	1	0	0
ENSP00000367697		1	0	1	1
ENSP00000377502		0	1	1	1
ENSP00000365837		1	0	0	0
ENSP00000215739		1	0	0	0
ENSP00000367446		1	1	0	1
ENSP00000366829		1	0	0	0
ENSP00000329097		1	1	1	1
ENSP00000363921		1	0	1	1
ENSP00000266458		0	1	0	0
ENSP00000352645		1	0	1	0
ENSP00000356859		1	0	0	0
ENSP00000251809		0	1	0	0
ENSP00000348984		1	1	1	1
ENSP00000369860		1	0	1	1
ENSP00000354720		0	0	0	0
ENSP00000261249		0	1	1	0
ENSP00000273317		1	1	1	1
ENSP00000334008		1	0	0	1
ENSP00000343021		0	0	0	0
ENSP00000318297		0	1	0	0
ENSP00000336888		0	0	0	0
ENSP00000294740		1	1	1	1
ENSP00000315569		1	0	1	0
ENSP00000248098		1	1	0	0
ENSP00000420381		1	1	0	1
ENSP00000025008		0	1	1	0
ENSP00000375810		1	0	0	1
ENSP00000273375		1	1	0	0
ENSP00000281623		0	0	0	1
ENSP00000358762		1	0	1	0
ENSP00000371278		0	1	0	1
ENSP00000355279		0	1	1	1
ENSP00000387219		1	1	1	0
ENSP00000441032		0	1	1	0
ENSP00000431391		0	0	0	1
ENSP00000305494		0	1	0	0
ENSP00000323076		0	0	0	0
ENSP00000457733		0	0	0	1
ENSP00000261017		0	1	0	0
ENSP00000246912		0	1	1	0
ENSP00000346986		0	0	0	0
ENSP00000357189		0	0	0	0
ENSP00000258787		1	0	0	0
ENSP00000244711		0	1	0	0
ENSP00000215570		0	0	0	0
ENSP00000311500		0	0	0	0
ENSP00000268616		1	1	1	1
ENSP00000326563		1	0	0	1
ENSP00000363458		0	0	0	0
ENSP00000357384		0	0	0	0
ENSP00000453144		0	0	0	0
ENSP00000366482		0	0	0	0
ENSP00000337998		0	0	0	1
ENSP00000347314		1	0	1	1
ENSP00000273368		1	0	0	0
ENSP00000287598		1	1	1	0
ENSP00000399168		0	0	0	0
ENSP00000320084		1	1	0	0
ENSP00000318313		1	0	1	1
ENSP00000383719		0	0	1	0
ENSP00000380054		1	1	1	1
ENSP00000377192		0	1	1	0
ENSP00000365851		1	1	1	0
ENSP00000367029		0	0	0	0
ENSP00000387365		0	0	0	1
ENSP00000268261		1	0	1	0
ENSP00000373565		1	0	0	0
ENSP00000286091		0	0	0	0
ENSP00000261942		0	1	0	0
ENSP00000420608		1	0	0	1
ENSP00000255175		1	1	1	0
ENSP00000270517		0	0	0	1
ENSP00000362656		1	1	0	0
ENSP00000334675		1	0	0	0
ENSP00000390475		1	0	0	0
ENSP00000301159		0	0	0	0
ENSP00000333769		0	0	0	0
ENSP00000382239		0	1	1	1
ENSP00000410769		0	0	0	0
ENSP00000346437		1	0	1	1
ENSP00000357564		0	0	0	0
ENSP00000247665		1	0	0	0
ENSP00000260598		0	1	0	0
ENSP00000250454		0	1	0	0
ENSP00000259239		0	0	0	0
ENSP00000297258		0	1	0	0
ENSP00000348510		1	0	1	1
ENSP00000303423		0	0	0	0
ENSP00000365567		0	0	1	1
ENSP00000380824		1	1	0	0
ENSP00000420176		0	0	0	0
ENSP00000360688		0	0	0	1
ENSP00000355895		0	1	1	1
ENSP00000356436		1	0	0	0
ENSP00000379691		0	0	0	1
ENSP00000251074		0	0	0	0
ENSP00000405674		0	0	0	0
ENSP00000294066		1	1	1	0
ENSP00000348283		1	0	0	0
ENSP00000282050		0	0	1	0
ENSP00000261479		1	0	0	0
ENSP00000370376		0	0	1	0
ENSP00000308717		0	0	0	0
ENSP00000264972		0	0	0	0
ENSP00000283179		1	0	1	0
ENSP00000356037		1	0	0	0
ENSP00000238256		1	0	1	1
ENSP00000361998		1	1	0	0
ENSP00000359859		0	0	1	0
