ID	init_fold
ENSP00000355559	96.8
ENSP00000264187	96.2
ENSP00000346635	104.2
ENSP00000355541	43.5
ENSP00000355537	65.9
ENSP00000355518	54.2
ENSP00000355500	43.9
ENSP00000263826	41.1
ENSP00000355493	91.5
ENSP00000283179	73.2
ENSP00000355467	103.2
ENSP00000355465	77.4
ENSP00000341236	68.2
ENSP00000342818	96.2
ENSP00000272065	83.4
ENSP00000371559	76.3
ENSP00000333666	84.4
ENSP00000339095	82
ENSP00000322568	70.1
ENSP00000281419	91.8
ENSP00000238112	55.3
ENSP00000309968	77.4
ENSP00000238081	79.7
ENSP00000263663	80.2
ENSP00000353770	94.8
ENSP00000371101	79.7
ENSP00000272227	76.4
ENSP00000317985	109.9
ENSP00000281513	45.6
ENSP00000233084	67.6
ENSP00000323439	60.5
ENSP00000318977	62.7
ENSP00000338173	30.2
ENSP00000305193	48.8
ENSP00000238789	113.4
ENSP00000233468	47.9
ENSP00000238721	61.5
ENSP00000347244	67.7
ENSP00000264709	61.9
ENSP00000264710	75.1
ENSP00000370023	68.3
ENSP00000325136	52.7
ENSP00000345528	62.9
ENSP00000288699	76.6
ENSP00000233121	58.3
ENSP00000264705	83
ENSP00000233575	93.8
ENSP00000233557	73.1
ENSP00000260570	66.8
ENSP00000347648	58.5
ENSP00000336750	46.7
ENSP00000296102	54.1
ENSP00000296122	65.3
ENSP00000261353	58.2
ENSP00000310551	51.7
ENSP00000295065	69.4
ENSP00000393596	97.5
ENSP00000313953	81
ENSP00000238823	63.6
ENSP00000263918	53.4
ENSP00000233057	52.7
ENSP00000234170	65.2
ENSP00000002125	55.5
ENSP00000234179	35
ENSP00000387088	75.7
ENSP00000325905	66.9
ENSP00000384675	58.2
ENSP00000423933	60.2
ENSP00000320663	61.9
ENSP00000385045	75.9
ENSP00000260605	59.9
ENSP00000260665	71.6
ENSP00000282412	67.2
ENSP00000260648	34.7
ENSP00000367755	73.2
ENSP00000304891	53.9
ENSP00000272298	49.2
ENSP00000233146	80.9
ENSP00000234420	75.5
ENSP00000384823	58.7
ENSP00000185150	119.2
ENSP00000384211	80.2
ENSP00000349259	50.8
ENSP00000272317	68.5
ENSP00000263629	38.9
ENSP00000295117	96
ENSP00000393953	36.3
ENSP00000342381	71.6
ENSP00000238714	44.3
ENSP00000384863	46.1
ENSP00000377958	74.4
ENSP00000263991	50.9
ENSP00000438144	65
ENSP00000338703	39.8
ENSP00000238875	68.6
ENSP00000387286	64.3
ENSP00000367220	65.3
ENSP00000263657	80.6
ENSP00000263655	83.8
ENSP00000301945	107.2
ENSP00000354347	61
ENSP00000387219	86.3
ENSP00000386456	66.7
ENSP00000377833	68.3
ENSP00000305556	53.2
ENSP00000401371	51.1
ENSP00000387654	66.3
ENSP00000037869	81
ENSP00000264436	75.4
ENSP00000389087	90.5
ENSP00000244230	86.6
ENSP00000264447	52.1
ENSP00000272427	71.9
ENSP00000234454	85.3
ENSP00000258091	70.1
ENSP00000272444	60.5
ENSP00000295137	64.2
ENSP00000264093	71.6
ENSP00000331369	94.1
ENSP00000379364	61.5
ENSP00000377617	71.4
ENSP00000416453	31
ENSP00000354791	90.6
ENSP00000290573	52.5
ENSP00000377486	53.2
ENSP00000318690	113.7
ENSP00000418191	60.6
ENSP00000377446	83.1
ENSP00000386443	61.4
ENSP00000303147	59.1
ENSP00000233838	64.5
ENSP00000263864	51.6
ENSP00000312981	46.7
ENSP00000263857	61.9
ENSP00000254630	66.7
ENSP00000387262	75.3
ENSP00000323659	86.2
ENSP00000381253	50.3
ENSP00000381214	80.8
ENSP00000283646	84.5
ENSP00000272418	101.5
ENSP00000233379	67.8
ENSP00000418287	94
ENSP00000317123	68.1
ENSP00000240423	38.2
ENSP00000366275	131.7
ENSP00000272610	65.4
ENSP00000289228	84.4
ENSP00000074304	67.6
ENSP00000264255	59.5
ENSP00000289371	49.6
ENSP00000258428	83
ENSP00000264254	54.8
ENSP00000386717	34.9
ENSP00000258455	69.1
ENSP00000322909	70.9
ENSP00000386588	77.9
ENSP00000386810	70.7
ENSP00000307939	78.9
ENSP00000446121	33.3
ENSP00000283195	84
ENSP00000380824	67.7
ENSP00000016946	84.2
ENSP00000330842	75
ENSP00000376943	49.6
ENSP00000339109	58.7
ENSP00000283206	93.9
ENSP00000306637	84.2
ENSP00000263331	77.6
ENSP00000263238	71.3
ENSP00000263239	56.5
ENSP00000365477	73.2
ENSP00000272519	86.6
ENSP00000263710	63.4
ENSP00000374332	71.2
ENSP00000285398	71.8
ENSP00000343463	47.7
ENSP00000295321	73.1
ENSP00000326888	102.7
ENSP00000325377	44.4
ENSP00000259253	55.7
ENSP00000387307	76.1
ENSP00000350052	59.9
ENSP00000318197	79.1
ENSP00000259239	85.5
ENSP00000392718	74.5
ENSP00000387176	60.3
ENSP00000439189	64.8
ENSP00000326042	83.5
ENSP00000411418	33.3
ENSP00000264156	66.9
ENSP00000264161	75.6
ENSP00000302501	64.5
ENSP00000393379	72.2
ENSP00000243326	87.1
ENSP00000263904	70.8
ENSP00000386458	85.8
ENSP00000308610	61.5
ENSP00000380453	35.1
ENSP00000374409	74
ENSP00000294904	61.2
ENSP00000386541	51.4
ENSP00000341360	72.4
ENSP00000348278	95.5
ENSP00000260970	52.9
ENSP00000260956	64.2
ENSP00000234160	91.8
ENSP00000380308	43.8
ENSP00000388658	37.3
ENSP00000282077	103
ENSP00000310301	101
ENSP00000284719	53.7
ENSP00000352802	62.3
ENSP00000272748	53.2
ENSP00000249442	72.9
ENSP00000376309	89.7
ENSP00000264167	106.3
ENSP00000286070	80
ENSP00000376293	44.7
ENSP00000318176	86.9
ENSP00000343764	70.1
ENSP00000415332	51.1
ENSP00000387006	44.9
ENSP00000376215	78.8
ENSP00000264065	42.8
ENSP00000354251	93.5
ENSP00000295119	64.4
ENSP00000338788	64
ENSP00000261023	112.9
ENSP00000352047	33.3
ENSP00000326869	51.8
ENSP00000352706	66.7
ENSP00000317379	88.7
ENSP00000354394	50.1
ENSP00000306382	71
ENSP00000263956	63.2
ENSP00000335321	60.5
ENSP00000340019	72.1
ENSP00000233893	62.7
ENSP00000295079	75.4
ENSP00000394316	77.9
ENSP00000394734	105.9
ENSP00000376076	60
ENSP00000264279	61.3
ENSP00000261015	44.5
ENSP00000261017	83.5
ENSP00000316543	76.3
ENSP00000392709	53.8
ENSP00000236957	79.2
ENSP00000363545	44.6
ENSP00000260985	42.9
ENSP00000233710	74.4
ENSP00000233714	66.3
ENSP00000402608	32.9
ENSP00000236959	51.7
ENSP00000346839	86.9
ENSP00000375977	65.4
ENSP00000418082	57.4
ENSP00000295685	64.3
ENSP00000248450	74.4
ENSP00000265316	85.5
ENSP00000355173	81.8
ENSP00000321617	76
ENSP00000248437	83.3
ENSP00000273075	84.3
ENSP00000315925	62.4
ENSP00000281821	38.5
ENSP00000375921	72.6
ENSP00000281828	66.1
ENSP00000350012	22.9
ENSP00000233055	91.3
ENSP00000258383	59.8
ENSP00000264414	60.7
ENSP00000344779	43.6
ENSP00000302037	43.4
ENSP00000387282	106
ENSP00000283943	63.9
ENSP00000258418	72.7
ENSP00000309474	64
ENSP00000318195	59.4
ENSP00000344547	53.2
ENSP00000258416	57.6
ENSP00000264059	93.9
ENSP00000387170	52.4
ENSP00000375872	87.3
ENSP00000346340	81.5
ENSP00000254654	78
ENSP00000252711	86.5
ENSP00000312042	48.9
ENSP00000353157	39.5
ENSP00000384259	77
ENSP00000304802	98.5
ENSP00000251607	83.8
ENSP00000306253	65.6
ENSP00000256496	82.5
ENSP00000157600	75
ENSP00000339532	51.8
ENSP00000373343	66.1
ENSP00000256460	100.7
ENSP00000307684	67.3
ENSP00000388169	48.8
ENSP00000245046	63.1
ENSP00000287647	47.5
ENSP00000432472	78.5
ENSP00000312122	73.4
ENSP00000324172	53.7
ENSP00000346437	30.1
ENSP00000170447	79.6
ENSP00000387641	52
ENSP00000380156	49.9
ENSP00000254508	100.6
ENSP00000295767	64.7
ENSP00000303992	70.2
ENSP00000285021	85.5
ENSP00000320447	61.7
ENSP00000323811	70.5
ENSP00000334153	50.3
ENSP00000273047	45.2
ENSP00000379931	50.8
ENSP00000303709	70.6
ENSP00000309334	74.8
ENSP00000396704	88.3
ENSP00000280700	100.6
ENSP00000295736	35.4
ENSP00000373277	51
ENSP00000295770	82.9
ENSP00000373274	49.8
ENSP00000307741	82.4
ENSP00000273130	80.5
ENSP00000330060	69.5
ENSP00000306920	93
ENSP00000323696	77.4
ENSP00000419974	69.8
ENSP00000411825	74.6
ENSP00000406027	74.7
ENSP00000231790	62.3
ENSP00000333664	102.5
ENSP00000401399	88.9
ENSP00000311713	89.5
ENSP00000307491	25.1
ENSP00000346067	64.6
ENSP00000345156	54.6
ENSP00000411132	74.1
ENSP00000322265	77.5
ENSP00000340841	60.5
ENSP00000344456	62.3
ENSP00000232978	80.7
ENSP00000389841	64.9
ENSP00000273320	51
ENSP00000324605	29.4
ENSP00000345809	52.4
ENSP00000296091	59.4
ENSP00000379363	36.8
ENSP00000296121	54.4
ENSP00000265537	55.3
ENSP00000373713	67.5
ENSP00000415034	104.8
ENSP00000386759	45.6
ENSP00000265562	80.5
ENSP00000296149	70.9
ENSP00000254480	99.6
ENSP00000405620	38.6
ENSP00000353375	65.5
ENSP00000416658	48.8
ENSP00000397843	44.6
ENSP00000203407	93.4
ENSP00000265563	87.3
ENSP00000348769	46.1
ENSP00000323076	97.2
ENSP00000321584	49.5
ENSP00000350094	41.3
ENSP00000307567	72.2
ENSP00000401197	64.2
ENSP00000307156	79.5
ENSP00000407375	102.5
ENSP00000400175	73.5
ENSP00000312435	69.8
ENSP00000296456	104.4
ENSP00000328287	81.1
ENSP00000266022	68.1
ENSP00000343054	61.7
ENSP00000002829	83.2
ENSP00000312999	87.6
ENSP00000393183	73.7
ENSP00000232888	93
ENSP00000384296	77.7
ENSP00000294189	50.8
ENSP00000296490	84.5
ENSP00000339958	111.3
ENSP00000417806	82.5
ENSP00000378307	75.7
ENSP00000395772	59.9
ENSP00000331602	82.2
ENSP00000405455	63.5
ENSP00000417509	40.2
ENSP00000288266	80.9
ENSP00000309142	90.9
ENSP00000306010	56.8
ENSP00000420213	66.3
ENSP00000295962	82.7
ENSP00000307241	62.7
ENSP00000418112	76.1
ENSP00000295899	67.7
ENSP00000295901	74.7
ENSP00000385450	35.1
ENSP00000401878	39.7
ENSP00000419325	45.3
ENSP00000295571	54
ENSP00000354340	48.9
ENSP00000419494	59.4
ENSP00000315182	84.8
ENSP00000374268	107.3
ENSP00000349124	66.5
ENSP00000410833	86.9
ENSP00000337451	51.7
ENSP00000328251	66.5
ENSP00000264193	109.2
ENSP00000410396	66.8
ENSP00000377700	32.1
ENSP00000377696	56.3
ENSP00000284320	90.5
ENSP00000312356	51.7
ENSP00000265260	71.1
ENSP00000326200	80.7
ENSP00000377640	51.67
ENSP00000305988	76.7
ENSP00000377502	49.2
ENSP00000273359	59.9
ENSP00000273368	71.9
ENSP00000320251	80.8
ENSP00000273398	60.2
ENSP00000377372	51.2
ENSP00000324806	49.5
ENSP00000283875	53.1
ENSP00000341848	67.5
ENSP00000343701	59.7
ENSP00000296161	70.3
ENSP00000373153	110.4
ENSP00000232607	81
ENSP00000296220	44.7
ENSP00000290913	86.8
ENSP00000265056	78.8
ENSP00000243253	67.3
ENSP00000318297	79.1
ENSP00000296255	63.7
ENSP00000265062	61.7
ENSP00000312618	78.8
ENSP00000410769	78.5
ENSP00000325002	77.8
ENSP00000372955	71.8
ENSP00000349205	51.6
ENSP00000264992	41.8
ENSP00000264995	101.9
ENSP00000411904	53.1
ENSP00000260818	63.4
ENSP00000348565	93.5
ENSP00000338766	88.6
ENSP00000264993	90.8
ENSP00000260810	54.8
ENSP00000418401	79.8
ENSP00000381097	93.9
ENSP00000264977	41.7
ENSP00000419027	52.5
ENSP00000260803	94.1
ENSP00000420333	40.5
ENSP00000342805	41.3
ENSP00000310785	38.7
ENSP00000329419	59.2
ENSP00000232219	90.3
ENSP00000264951	73.5
ENSP00000336831	41.7
ENSP00000320081	114.8
ENSP00000282903	100
ENSP00000345494	49.4
ENSP00000340736	72.4
ENSP00000308944	70.8
ENSP00000239940	80.8
ENSP00000354543	68.2
ENSP00000417229	75.8
ENSP00000282486	47.2
ENSP00000348828	70.5
ENSP00000417078	78.2
ENSP00000345988	16.1
ENSP00000419851	71.7
ENSP00000419038	84.9
ENSP00000341382	93
ENSP00000334373	79.9
ENSP00000307525	65.7
ENSP00000376506	41.8
ENSP00000417354	90.5
ENSP00000264674	52.3
ENSP00000295797	94
ENSP00000295822	74.5
ENSP00000399511	57.2
ENSP00000442464	74.9
ENSP00000405574	45.7
ENSP00000263969	50.1
ENSP00000232564	62.4
ENSP00000397552	77.5
ENSP00000263966	106.1
ENSP00000350170	52.5
ENSP00000321195	73.6
ENSP00000292782	55.5
ENSP00000265594	95.8
ENSP00000292807	75.6
ENSP00000411471	76.5
ENSP00000384223	39.5
ENSP00000310129	93.4
ENSP00000338020	85.8
ENSP00000231887	61.7
ENSP00000371634	81.3
ENSP00000416959	75.9
ENSP00000265028	87.2
ENSP00000326381	48.1
ENSP00000296273	50.5
ENSP00000316881	101.5
ENSP00000354681	82.8
ENSP00000353224	73.2
ENSP00000292823	48.7
ENSP00000296328	66.4
ENSP00000320898	54.5
ENSP00000314067	76.9
ENSP00000326806	69.1
ENSP00000296350	105.6
ENSP00000345731	70.6
ENSP00000393393	61.8
ENSP00000415774	27.1
ENSP00000240499	52.2
ENSP00000428878	50.6
ENSP00000354724	74.3
ENSP00000290921	93.1
ENSP00000302830	55.7
ENSP00000417686	92.7
ENSP00000326550	67.6
ENSP00000305653	114.1
ENSP00000372347	61.5
ENSP00000372335	99
ENSP00000372290	99.7
ENSP00000264758	68.7
ENSP00000315674	70.3
ENSP00000347184	86.4
ENSP00000421922	96.9
ENSP00000345917	49.4
ENSP00000321606	106.4
ENSP00000308022	108.7
ENSP00000348775	69.9
ENSP00000427687	84.4
ENSP00000040738	88.1
ENSP00000385347	88.4
ENSP00000281243	107.7
ENSP00000226299	94.2
ENSP00000251496	85.5
ENSP00000336741	68.5
ENSP00000318775	93.1
ENSP00000441802	107
ENSP00000313385	99.8
ENSP00000371393	86
ENSP00000423897	33.2
ENSP00000371321	47.5
ENSP00000346022	51.6
ENSP00000319501	61.4
ENSP00000261427	56.4
ENSP00000303427	75.1
ENSP00000284440	83.2
ENSP00000316891	64.8
ENSP00000295448	51.3
ENSP00000370949	80.9
ENSP00000351113	35.5
ENSP00000264312	64.6
ENSP00000423014	54.1
ENSP00000288135	80.5
ENSP00000326514	57.1
ENSP00000264220	77.9
ENSP00000382595	45.3
ENSP00000342181	86.2
ENSP00000312735	34.5
ENSP00000273853	63.1
ENSP00000313454	58.8
ENSP00000339245	76.1
ENSP00000254799	89.3
ENSP00000310189	47.2
ENSP00000351416	100.3
ENSP00000352738	56.7
ENSP00000348596	51.8
ENSP00000264896	91.2
ENSP00000237642	97.4
ENSP00000264893	80.6
ENSP00000315017	50.1
ENSP00000264908	50.6
ENSP00000286794	42
ENSP00000313199	81.4
ENSP00000295470	62.9
ENSP00000273920	67.4
ENSP00000347329	24.8
ENSP00000264389	67.8
ENSP00000310873	23.3
ENSP00000295488	67.9
ENSP00000264409	86.4
ENSP00000352157	37.9
ENSP00000394794	72.7
ENSP00000303575	92.5
ENSP00000264350	97.7
ENSP00000338345	58.7
ENSP00000351947	37.5
ENSP00000321746	60.9
ENSP00000295266	82
ENSP00000425561	21
ENSP00000296411	75.7
ENSP00000296412	48.8
ENSP00000273962	45.7
ENSP00000296417	75.2
ENSP00000378323	76.9
ENSP00000226578	82.4
ENSP00000349722	56.5
ENSP00000296424	62.1
ENSP00000343885	66.5
ENSP00000378191	42.6
ENSP00000265174	66.7
ENSP00000385638	69.3
ENSP00000378160	52.8
ENSP00000265175	63.4
ENSP00000265164	70.1
ENSP00000265162	42
ENSP00000310182	106.6
ENSP00000314311	33.7
ENSP00000339740	29.5
ENSP00000373474	73.1
ENSP00000280551	58.8
ENSP00000347046	89
ENSP00000296509	83.7
ENSP00000296511	63.6
ENSP00000368984	68.2
ENSP00000264498	68.3
ENSP00000281154	63.7
ENSP00000296464	60.2
ENSP00000429301	95.1
ENSP00000296543	70.6
ENSP00000274031	79.9
ENSP00000326699	56.4
ENSP00000326342	53.7
ENSP00000283131	64.6
ENSP00000310071	59.88
ENSP00000296577	50.5
ENSP00000296581	64.5
ENSP00000349629	78
ENSP00000346050	54.5
ENSP00000296557	50.4
ENSP00000424417	63.6
ENSP00000310593	37.3
ENSP00000426638	56.6
ENSP00000303754	70.7
ENSP00000274054	74.2
ENSP00000305069	79.8
ENSP00000261507	54.3
ENSP00000425556	48.1
ENSP00000424757	44.8
ENSP00000406598	65.9
ENSP00000265000	89.6
ENSP00000296503	69.4
ENSP00000427463	85.5
ENSP00000385276	13.1
ENSP00000349576	66.3
ENSP00000388920	74.7
ENSP00000311032	51.1
ENSP00000281455	71.2
ENSP00000281456	97.7
ENSP00000264689	66.4
ENSP00000264932	92.7
ENSP00000264933	98.8
ENSP00000419765	96.7
ENSP00000166345	108.5
ENSP00000313854	108.6
ENSP00000283415	111.4
ENSP00000274137	60
ENSP00000264670	95.1
ENSP00000280326	80.6
ENSP00000296658	68.8
ENSP00000230895	63.8
ENSP00000339299	85.2
ENSP00000284274	102.3
ENSP00000310042	84
ENSP00000319281	68.3
